,shifted_stimulusID,response_category
939,14.0,1
940,144.0,1
941,79.0,2
942,45.0,2
943,33.0,2
944,103.0,3
945,146.0,1
946,117.0,3
947,34.0,2
948,99.0,3
949,95.0,3
950,28.0,2
951,85.0,3
952,114.0,3
953,86.0,3
954,39.0,2
955,44.0,2
956,110.0,3
957,138.0,1
958,98.0,3
959,82.0,3
960,7.0,1
961,53.0,2
962,89.0,3
963,55.0,2
964,147.0,1
965,50.0,2
966,107.0,3
967,137.0,1
968,59.0,2
969,73.0,3
970,124.0,3
971,64.0,2
972,81.0,3
973,76.0,2
974,31.0,2
975,133.0,1
976,22.0,1
977,71.0,2
978,23.0,2
979,98.0,3
980,137.0,1
981,12.0,1
982,4.0,1
983,125.0,3
984,22.0,1
985,66.0,2
986,106.0,3
987,26.0,2
988,27.0,1
989,100.0,3
990,54.0,2
991,112.0,3
992,77.0,3
993,92.0,3
994,15.0,1
995,19.0,1
996,58.0,2
997,101.0,3
998,32.0,2
999,33.0,2
1000,43.0,2
1001,57.0,2
1002,16.0,2
1003,51.0,2
1004,91.0,3
1005,97.0,3
1006,47.0,2
1007,88.0,3
1008,127.0,3
1009,10.0,1
1010,74.0,3
1011,81.0,3
1012,8.0,1
1013,110.0,3
1014,135.0,1
1015,116.0,3
1016,128.0,3
1017,39.0,2
1018,45.0,2
1019,18.0,1
1020,42.0,2
1021,5.0,1
1022,55.0,2
1023,144.0,1
1024,87.0,3
1025,105.0,3
1026,107.0,3
1027,44.0,2
1028,49.0,2
1029,60.0,2
1030,96.0,3
1031,29.0,2
1032,102.0,3
1033,140.0,1
1034,28.0,1
1035,75.0,3
1036,64.0,2
1037,40.0,2
1038,65.0,2
1039,46.0,2
1040,95.0,3
1041,139.0,1
1042,11.0,2
1043,68.0,3
1044,93.0,2
1045,50.0,2
1046,70.0,3
1047,84.0,3
1048,9.0,1
1049,117.0,3
1050,146.0,1
1051,3.0,1
1052,2.0,1
1053,118.0,3
1054,76.0,3
1055,136.0,3
1056,145.0,1
1057,72.0,3
1058,37.0,2
1059,35.0,2
1060,83.0,3
1061,36.0,1
1062,26.0,2
1063,65.0,3
1064,134.0,3
1065,142.0,1
1066,25.0,2
1067,88.0,3
1068,82.0,3
1069,40.0,2
1070,140.0,1
1071,34.0,2
1072,106.0,3
1073,112.0,3
1074,141.0,1
1075,55.0,2
1076,117.0,3
1077,128.0,3
1078,44.0,2
1079,118.0,3
1080,99.0,3
1081,49.0,2
1082,98.0,3
1083,78.0,3
1084,90.0,3
1085,81.0,2
1086,95.0,3
1087,97.0,3
1088,39.0,2
1089,33.0,2
1090,63.0,2
1091,137.0,1
1092,8.0,1
1093,74.0,3
1094,32.0,2
1095,3.0,1
1096,72.0,3
1097,50.0,2
1098,89.0,3
1099,46.0,2
1100,58.0,2
1101,12.0,1
1102,100.0,3
1103,9.0,1
1104,80.0,3
1105,20.0,1
1106,21.0,2
1107,19.0,1
1108,131.0,1
1109,129.0,1
1110,27.0,2
1111,107.0,3
1112,37.0,2
1113,14.0,2
1114,114.0,3
1115,113.0,3
1116,77.0,3
1117,60.0,2
1118,43.0,2
1119,109.0,3
1120,42.0,2
1121,35.0,1
1122,48.0,2
1123,101.0,3
1124,85.0,3
1125,116.0,3
1126,93.0,3
1127,92.0,3
1128,45.0,2
1129,30.0,2
1130,51.0,2
1131,75.0,3
1132,119.0,3
1133,6.0,1
1134,105.0,3
1135,87.0,3
1136,133.0,1
1137,91.0,3
1138,38.0,2
1139,5.0,1
1140,96.0,3
1141,73.0,2
1142,17.0,1
1143,12.0,1
1144,99.0,3
1145,81.0,3
1146,104.0,3
1147,132.0,1
1148,137.0,1
1149,119.0,1
1150,56.0,2
1151,83.0,3
1152,68.0,2
1153,131.0,1
1154,67.0,2
1155,103.0,3
1156,27.0,2
1157,14.0,1
1158,71.0,3
1159,110.0,3
1160,46.0,2
1161,92.0,3
1162,32.0,2
1163,75.0,2
1164,28.0,2
1165,77.0,3
1166,143.0,1
1167,94.0,3
1168,57.0,2
1169,117.0,3
1170,30.0,2
1171,88.0,3
1172,42.0,2
1173,55.0,2
1174,73.0,2
1175,9.0,1
1176,10.0,1
1177,53.0,2
1178,79.0,3
1179,64.0,2
1180,41.0,2
1181,142.0,1
1182,58.0,2
1183,17.0,1
1184,138.0,1
1185,54.0,2
1186,52.0,2
1187,40.0,2
1188,43.0,2
1189,112.0,3
1190,4.0,1
1191,1.0,1
1192,76.0,3
1193,93.0,3
1194,102.0,3
1195,78.0,3
1196,3.0,1
1197,98.0,3
1198,108.0,3
1199,48.0,2
1200,60.0,3
1201,69.0,2
1202,115.0,3
1203,89.0,3
1204,140.0,1
1205,128.0,3
1206,25.0,2
1207,113.0,3
1208,80.0,3
1209,133.0,1
1210,59.0,2
1211,90.0,3
1212,7.0,1
1213,87.0,3
1214,147.0,1
1215,126.0,1
1216,5.0,1
1217,125.0,1
1218,34.0,2
1219,130.0,1
1220,39.0,1
1221,26.0,1
1222,70.0,3
1223,35.0,2
1224,109.0,3
1225,86.0,3
1226,102.0,3
1227,114.0,3
1228,17.0,1
1229,32.0,2
1230,72.0,2
1231,25.0,1
1232,146.0,1
1233,52.0,2
1234,36.0,1
1235,138.0,1
1236,93.0,3
1237,20.0,1
1238,53.0,2
1239,96.0,3
1240,11.0,1
1241,67.0,2
1242,133.0,1
1243,6.0,1
1244,27.0,2
1245,90.0,3
1246,63.0,2
1247,118.0,3
1248,58.0,2
1249,134.0,1
1250,66.0,2
1251,51.0,2
1252,137.0,1
1253,21.0,2
1254,89.0,3
1255,15.0,1
1256,76.0,3
1257,43.0,2
1258,9.0,1
1259,129.0,3
1260,147.0,1
1261,73.0,2
1262,49.0,2
1263,56.0,2
1264,80.0,1
1265,81.0,3
1266,7.0,1
1267,105.0,3
1268,95.0,3
1269,97.0,3
1270,65.0,2
1271,61.0,2
1272,106.0,3
1273,48.0,2
1274,12.0,1
1275,70.0,2
1276,122.0,1
1277,37.0,2
1278,132.0,3
1279,78.0,3
1280,101.0,3
1281,103.0,3
1282,112.0,3
1283,23.0,1
1284,130.0,3
1285,18.0,1
1286,35.0,2
1287,22.0,2
1288,143.0,1
1289,121.0,1
1290,140.0,2
1291,142.0,1
1292,42.0,2
1293,145.0,1
1294,84.0,2
1295,126.0,1
1296,14.0,1
1297,83.0,3
1298,117.0,3
1299,99.0,3
1300,110.0,3
1301,10.0,1
1302,107.0,3
1303,19.0,1
1304,111.0,3
1305,5.0,1
1306,87.0,3
1307,16.0,1
1308,46.0,2
1309,139.0,1
1310,137.0,1
1311,14.0,1
1312,16.0,1
1313,3.0,1
1314,71.0,3
1315,76.0,3
1316,74.0,3
1317,9.0,1
1318,28.0,1
1319,63.0,2
1320,1.0,1
1321,11.0,1
1322,66.0,2
1323,72.0,3
1324,126.0,3
1325,88.0,3
1326,93.0,3
1327,115.0,3
1328,114.0,3
1329,112.0,3
1330,111.0,3
1331,81.0,3
1332,22.0,2
1333,125.0,3
1334,55.0,2
1335,135.0,1
1336,13.0,1
1337,97.0,3
1338,129.0,1
1339,24.0,1
1340,17.0,1
1341,120.0,3
1342,65.0,2
1343,94.0,3
1344,144.0,1
1345,91.0,3
1346,45.0,2
1347,77.0,3
1348,34.0,2
1349,39.0,2
1350,50.0,2
1351,54.0,2
1352,51.0,2
1353,53.0,2
1354,75.0,2
1355,64.0,2
1356,95.0,3
1357,92.0,3
1358,103.0,3
1359,41.0,2
1360,5.0,1
1361,21.0,1
1362,20.0,1
1363,43.0,2
1364,35.0,2
1365,32.0,2
1366,121.0,1
1367,36.0,1
1368,46.0,2
1369,116.0,1
1370,70.0,2
1371,8.0,1
1372,26.0,2
1373,107.0,3
1374,105.0,3
1375,123.0,3
1376,101.0,3
1377,6.0,1
1378,62.0,2
1379,23.0,1
1380,4.0,1
1381,119.0,1
1382,108.0,3
1383,19.0,1
1384,69.0,2
1385,130.0,1
1386,56.0,2
1387,127.0,1
1388,57.0,2
1389,34.0,2
1390,87.0,3
1391,33.0,2
1392,57.0,2
1393,6.0,1
1394,95.0,3
1395,16.0,1
1396,115.0,3
1397,35.0,2
1398,131.0,3
1399,140.0,1
1400,13.0,1
1401,104.0,3
1402,12.0,1
1403,22.0,1
1404,72.0,2
1405,14.0,1
1406,135.0,1
